Refractive index of gold at +12K
lambda [um]	n	k
0.55043	0.33315	2.48421
0.55212	0.32489	2.51189
0.55381	0.31706	2.53918
0.55550	0.30963	2.56609
0.55719	0.30257	2.59262
0.55888	0.29586	2.61879
0.56057	0.28947	2.64461
0.56225	0.28340	2.67009
0.56394	0.27761	2.69526
0.56563	0.27209	2.72011
0.56732	0.26683	2.74465
0.56901	0.26181	2.76891
0.57070	0.25702	2.79288
0.57239	0.25243	2.81659
0.57408	0.24806	2.84003
0.57577	0.24387	2.86321
0.57746	0.23986	2.88615
0.57915	0.23602	2.90886
0.58084	0.23234	2.93133
0.58253	0.22882	2.95358
0.58422	0.22544	2.97562
0.58591	0.22220	2.99745
0.58760	0.21910	3.01908
0.58929	0.21611	3.04051
0.59098	0.21325	3.06176
0.59267	0.21050	3.08282
0.59436	0.20786	3.10371
0.59605	0.20532	3.12443
0.59774	0.20287	3.14498
0.59943	0.20053	3.16537
0.60112	0.19827	3.18560
0.60281	0.19609	3.20568
0.60450	0.19400	3.22562
0.60619	0.19199	3.24541
0.60788	0.19005	3.26506
0.60957	0.18819	3.28458
0.61126	0.18639	3.30397
0.61295	0.18466	3.32323
0.61464	0.18299	3.34237
0.61633	0.18138	3.36139
0.61801	0.17983	3.38029
0.61970	0.17834	3.39908
0.62139	0.17690	3.41775
0.62308	0.17552	3.43632
0.62477	0.17418	3.45478
0.62646	0.17289	3.47314
0.62815	0.17165	3.49141
0.62984	0.17045	3.50957
0.63153	0.16930	3.52764
0.63322	0.16818	3.54562
0.63491	0.16711	3.56351
0.63660	0.16607	3.58131
0.63829	0.16508	3.59903
0.63998	0.16411	3.61666
0.64167	0.16319	3.63421
0.64336	0.16229	3.65168
0.64505	0.16143	3.66907
0.64674	0.16060	3.68639
0.64843	0.15980	3.70364
0.65012	0.15903	3.72081
0.65181	0.15829	3.73791
0.65350	0.15758	3.75494
0.65519	0.15689	3.77191
0.65688	0.15623	3.78881
0.65857	0.15559	3.80564
0.66026	0.15498	3.82241
0.66195	0.15439	3.83912
0.66364	0.15383	3.85577
0.66533	0.15329	3.87236
0.66702	0.15276	3.88890
0.66871	0.15226	3.90537
0.67040	0.15178	3.92179
0.67209	0.15132	3.93816
0.67378	0.15088	3.95447
0.67546	0.15046	3.97074
0.67715	0.15005	3.98695
0.67884	0.14967	4.00311
0.68053	0.14930	4.01922
0.68222	0.14894	4.03528
0.68391	0.14861	4.05130
0.68560	0.14828	4.06727
0.68729	0.14798	4.08319
0.68898	0.14769	4.09907
0.69067	0.14741	4.11491
0.69236	0.14715	4.13071
0.69405	0.14690	4.14646
0.69574	0.14667	4.16217
0.69743	0.14645	4.17784
0.69912	0.14624	4.19347
0.70081	0.14604	4.20907
0.70250	0.14586	4.22462
0.70419	0.14569	4.24014
0.70588	0.14553	4.25562
0.70757	0.14538	4.27106
0.70926	0.14524	4.28647
0.71095	0.14512	4.30184
0.71264	0.14500	4.31718
0.71433	0.14490	4.33249
0.71602	0.14480	4.34776
0.71771	0.14472	4.36300
0.71940	0.14464	4.37821
0.72109	0.14458	4.39338
0.72278	0.14452	4.40853
0.72447	0.14448	4.42364
0.72616	0.14444	4.43873
0.72785	0.14441	4.45378
0.72954	0.14439	4.46881
0.73122	0.14438	4.48381
0.73291	0.14437	4.49878
0.73460	0.14438	4.51372
0.73629	0.14439	4.52864
0.73798	0.14441	4.54352
0.73967	0.14444	4.55839
0.74136	0.14447	4.57322
0.74305	0.14451	4.58803
0.74474	0.14456	4.60282
0.74643	0.14462	4.61758
0.74812	0.14468	4.63231
0.74981	0.14475	4.64703
0.75150	0.14483	4.66171
0.75319	0.14491	4.67638
0.75488	0.14500	4.69102
0.75657	0.14510	4.70564
0.75826	0.14520	4.72024
0.75995	0.14531	4.73481
0.76164	0.14542	4.74937
0.76333	0.14554	4.76390
0.76502	0.14567	4.77841
0.76671	0.14580	4.79290
0.76840	0.14594	4.80737
0.77009	0.14608	4.82182
0.77178	0.14623	4.83625
0.77347	0.14638	4.85066
0.77516	0.14654	4.86505
0.77685	0.14670	4.87942
0.77854	0.14687	4.89378
0.78023	0.14704	4.90811
0.78192	0.14722	4.92243
0.78361	0.14741	4.93673
0.78530	0.14759	4.95101
0.78699	0.14779	4.96527
0.78867	0.14798	4.97952
0.79036	0.14818	4.99374
0.79205	0.14839	5.00795
0.79374	0.14860	5.02215
0.79543	0.14882	5.03633
0.79712	0.14904	5.05049
0.79881	0.14926	5.06464
0.80050	0.14949	5.07877
0.80219	0.14972	5.09288
0.80388	0.14995	5.10698
0.80557	0.15019	5.12106
0.80726	0.15044	5.13513
0.80895	0.15068	5.14918
0.81064	0.15094	5.16322
0.81233	0.15119	5.17725
0.81402	0.15145	5.19126
0.81571	0.15171	5.20525
0.81740	0.15198	5.21924
0.81909	0.15225	5.23320
0.82078	0.15252	5.24716
0.82247	0.15280	5.26110
0.82416	0.15308	5.27503
0.82585	0.15336	5.28894
0.82754	0.15365	5.30284
0.82923	0.15394	5.31673
0.83092	0.15423	5.33061
0.83261	0.15453	5.34447
0.83430	0.15483	5.35832
0.83599	0.15513	5.37216
0.83768	0.15544	5.38598
0.83937	0.15575	5.39980
0.84106	0.15606	5.41360
0.84275	0.15637	5.42739
0.84443	0.15669	5.44117
0.84612	0.15701	5.45493
0.84781	0.15734	5.46869
0.84950	0.15767	5.48243
0.85119	0.15800	5.49617
0.85288	0.15833	5.50989
0.85457	0.15866	5.52360
0.85626	0.15900	5.53730
0.85795	0.15934	5.55099
0.85964	0.15969	5.56467
0.86133	0.16004	5.57834
0.86302	0.16038	5.59200
0.86471	0.16074	5.60565
0.86640	0.16109	5.61929
0.86809	0.16145	5.63291
0.86978	0.16181	5.64653
0.87147	0.16217	5.66014
0.87316	0.16254	5.67374
0.87485	0.16290	5.68733
0.87654	0.16327	5.70091
0.87823	0.16365	5.71448
0.87992	0.16402	5.72804
0.88161	0.16440	5.74159
0.88330	0.16478	5.75513
0.88499	0.16516	5.76867
0.88668	0.16554	5.78219
0.88837	0.16593	5.79571
0.89006	0.16632	5.80921
0.89175	0.16671	5.82271
0.89344	0.16710	5.83620
0.89513	0.16750	5.84968
0.89682	0.16790	5.86316
0.89851	0.16830	5.87662
0.90020	0.16870	5.89008
0.90188	0.16910	5.90352
0.90357	0.16951	5.91696
0.90526	0.16992	5.93039
0.90695	0.17033	5.94382
0.90864	0.17074	5.95723
0.91033	0.17116	5.97064
0.91202	0.17158	5.98404
0.91371	0.17200	5.99743
0.91540	0.17242	6.01082
0.91709	0.17284	6.02420
0.91878	0.17327	6.03757
0.92047	0.17369	6.05093
0.92216	0.17412	6.06428
0.92385	0.17455	6.07763
0.92554	0.17499	6.09097
0.92723	0.17542	6.10431
0.92892	0.17586	6.11763
0.93061	0.17630	6.13095
0.93230	0.17674	6.14426
0.93399	0.17718	6.15757
0.93568	0.17763	6.17087
0.93737	0.17808	6.18416
0.93906	0.17852	6.19745
0.94075	0.17898	6.21072
0.94244	0.17943	6.22400
0.94413	0.17988	6.23726
0.94582	0.18034	6.25052
0.94751	0.18080	6.26377
0.94920	0.18126	6.27702
0.95089	0.18172	6.29026
0.95258	0.18218	6.30349
0.95427	0.18265	6.31672
0.95596	0.18311	6.32994
0.95764	0.18358	6.34316
0.95933	0.18405	6.35637
0.96102	0.18452	6.36957
0.96271	0.18500	6.38277
0.96440	0.18547	6.39596
0.96609	0.18595	6.40914
0.96778	0.18643	6.42232
0.96947	0.18691	6.43550
0.97116	0.18739	6.44866
0.97285	0.18788	6.46183
0.97454	0.18836	6.47498
0.97623	0.18885	6.48813
0.97792	0.18934	6.50128
0.97961	0.18983	6.51442
0.98130	0.19032	6.52755
0.98299	0.19081	6.54068
0.98468	0.19131	6.55381
0.98637	0.19181	6.56693
0.98806	0.19231	6.58004
0.98975	0.19281	6.59315
0.99144	0.19331	6.60625
0.99313	0.19381	6.61935
0.99482	0.19432	6.63244
0.99651	0.19482	6.64553
0.99820	0.19533	6.65861
0.99989	0.19584	6.67169
1.00158	0.19635	6.68476
1.00327	0.19687	6.69783
1.00496	0.19738	6.71089
1.00665	0.19790	6.72395
1.00834	0.19841	6.73700
1.01003	0.19893	6.75005
1.01172	0.19945	6.76309
1.01341	0.19997	6.77613
1.01509	0.20050	6.78917
1.01678	0.20102	6.80220
1.01847	0.20155	6.81522
1.02016	0.20208	6.82824
1.02185	0.20261	6.84126
1.02354	0.20314	6.85427
1.02523	0.20367	6.86727
1.02692	0.20420	6.88028
1.02861	0.20474	6.89327
1.03030	0.20527	6.90627
1.03199	0.20581	6.91926
1.03368	0.20635	6.93224
1.03537	0.20689	6.94522
1.03706	0.20743	6.95820
1.03875	0.20798	6.97117
1.04044	0.20852	6.98414
1.04213	0.20907	6.99710
1.04382	0.20962	7.01006
1.04551	0.21017	7.02302
1.04720	0.21072	7.03597
